species,section,latitude,longitude
Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),Adnataria,-37.66166667,144.3641667
Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),Adnataria,-37.66166667,144.3641667
Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),Adnataria,-37.66166667,144.3641667
Eucalyptus caleyi subsp. ovendenii,Adnataria,-29.09666667,151.7163889
Eucalyptus caleyi subsp. ovendenii,Adnataria,-29.09666667,151.7163889
Eucalyptus exserta,Exsertaria,-28.49055556,151.4513889
Eucalyptus exserta,Exsertaria,-28.49055556,151.4513889
Eucalyptus exserta,Exsertaria,-28.49055556,151.4513889
Eucalyptus tereticornis subsp. basaltica,Exsertaria,-27.45388889,152.2027778
Eucalyptus tereticornis subsp. basaltica,Exsertaria,-27.45388889,152.2027778
Eucalyptus tereticornis subsp. basaltica,Exsertaria,-27.45388889,152.2027778
Eucalyptus scopulorum,Adnataria,-29.6125,152.2027778
Eucalyptus scopulorum,Adnataria,-29.6125,152.2027778
Eucalyptus scopulorum,Adnataria,-29.6125,152.2027778
Eucalyptus bosistoana,Adnataria,-36.17833333,149.7972222
Eucalyptus bosistoana,Adnataria,-36.17833333,149.7972222
Eucalyptus bosistoana,Adnataria,-36.17833333,149.7972222
Eucalyptus magnificata,Adnataria,-30.71916667,151.7222222
Eucalyptus magnificata,Adnataria,-30.71916667,151.7222222
Eucalyptus magnificata,Adnataria,-30.71916667,151.7222222
Eucalyptus rubida subsp. barbigerorum,,-29.64416667,151.8158333
Eucalyptus rummeryi,Adnataria,-28.93305556,152.705
Eucalyptus rummeryi,Adnataria,-28.93305556,152.705
Eucalyptus fergusonii subsp. fergusonii,Adnataria,-32.64027778,151.9897222
Eucalyptus fergusonii subsp. fergusonii,Adnataria,-32.64027778,151.9897222
Eucalyptus fergusonii subsp. fergusonii,Adnataria,-32.64027778,151.9897222
Eucalyptus rudderi,Adnataria,-32.04388889,152.3691667
Eucalyptus rudderi,Adnataria,-32.04388889,152.3691667
Eucalyptus rudderi,Adnataria,-32.04388889,152.3691667
Eucalyptus tetrapleura,Adnataria,-29.90166667,153.0647222
Eucalyptus tetrapleura,Adnataria,-29.90166667,153.0647222
Eucalyptus tetrapleura,Adnataria,-29.90166667,153.0647222
Eucalyptus paniculata,Adnataria,-35.76916667,150.1491667
Eucalyptus paniculata,Adnataria,-35.76916667,150.1491667
Eucalyptus paniculata,Adnataria,-35.76916667,150.1491667
Eucalyptus albopurpurea,Adnataria,-34.83305556,135.7330556
Eucalyptus albopurpurea,Adnataria,-34.83305556,135.7330556
Eucalyptus albopurpurea,Adnataria,-34.83305556,135.7330556
Eucalyptus camaldulensis subsp. arida,Exsertaria,-28.31944444,114.5391667
Eucalyptus camaldulensis subsp. arida,Exsertaria,-28.31944444,114.5391667
Eucalyptus camaldulensis subsp. arida,Exsertaria,-28.31944444,114.5391667
Eucalyptus petraea,Adnataria,-29.92333333,116.1122222
Eucalyptus petraea,Adnataria,-29.92333333,116.1122222
Eucalyptus cuprea,Adnataria,-27.74833333,114.675
Eucalyptus cuprea,Adnataria,-27.74833333,114.675
Eucalyptus cuprea,Adnataria,-27.74833333,114.675
Eucalyptus behriana,Adnataria,-34.46166667,135.6891667
Eucalyptus behriana,Adnataria,-34.46166667,135.6891667
